ModuleLicenseId|ModuleId|LicenseId|IsActive|DateCreated|DateUpdated|UserId|UpdatedUserId|ModuleType
161|113|34|False|2019-05-04 21:05:36.690000000|2020-08-22 13:49:08.513000000|263|289|1
162|0|34|False|2019-05-04 21:05:36.690000000|2020-08-22 13:49:08.513000000|263|289|2
163|115|39|False|2019-05-06 10:57:47.647000000|2020-08-12 16:47:03.770000000|0|284|1
164|115|40|True|2019-05-06 10:58:06.717000000||0||1
165|115|41|True|2019-05-06 10:58:09.707000000||289||1
166|115|39|False|2019-05-06 11:13:35.883000000|2020-08-12 16:47:03.770000000|0|284|1
167|8|39|False|2019-05-06 11:13:35.883000000|2020-08-12 16:47:03.770000000|0|284|2
168|115|39|False|2019-05-06 11:58:15.770000000|2020-08-12 16:47:03.770000000|310|284|1
169|8|39|False|2019-05-06 11:58:15.773000000|2020-08-12 16:47:03.770000000|310|284|2
170|113|34|False|2019-05-06 12:47:41.447000000|2020-08-22 13:49:08.513000000|289|289|1
171|0|34|False|2019-05-06 12:47:41.447000000|2020-08-22 13:49:08.513000000|289|289|2
172|115|39|False|2019-05-06 13:00:06.137000000|2020-08-12 16:47:03.770000000|263|284|1
173|8|39|False|2019-05-06 13:00:06.137000000|2020-08-12 16:47:03.770000000|263|284|2
174|115|15|False|2019-05-06 13:55:19.380000000|2020-04-14 18:46:08.083000000|310|539|1
175|4096|15|False|2019-05-06 13:55:19.380000000|2020-04-14 18:46:08.083000000|310|539|2
176|65536|15|False|2019-05-06 13:55:19.380000000|2020-04-14 18:46:08.083000000|310|539|3
177|113|42|False|2019-05-06 14:00:52.807000000|2019-05-09 11:19:09.253000000|265|265|1
178|113|42|False|2019-05-06 14:01:47.140000000|2019-05-09 11:19:09.253000000|265|265|1
179|113|42|False|2019-05-06 14:01:58.503000000|2019-05-09 11:19:09.253000000|0|265|1
180|113|42|False|2019-05-06 14:05:25.133000000|2019-05-09 11:19:09.253000000|265|265|1
181|113|42|False|2019-05-06 14:08:03.943000000|2019-05-09 11:19:09.253000000|265|265|1
182|113|42|False|2019-05-06 14:08:11.320000000|2019-05-09 11:19:09.253000000|0|265|1
183|113|42|False|2019-05-06 14:13:40.127000000|2019-05-09 11:19:09.253000000|265|265|1
184|115|39|False|2019-05-06 15:06:14.597000000|2020-08-12 16:47:03.770000000|263|284|1
185|8|39|False|2019-05-06 15:06:14.597000000|2020-08-12 16:47:03.770000000|263|284|2
186|115|39|False|2019-05-06 17:25:50.730000000|2020-08-12 16:47:03.770000000|263|284|1
187|8|39|False|2019-05-06 17:25:50.730000000|2020-08-12 16:47:03.770000000|263|284|2
188|115|43|False|2019-05-06 19:28:04.567000000|2020-06-23 16:26:18.273000000|0|279|1
189|0|43|False|2019-05-06 19:28:04.570000000|2020-06-23 16:26:18.273000000|0|279|2
190|65536|43|False|2019-05-06 19:28:04.570000000|2020-06-23 16:26:18.273000000|0|279|3
191|115|44|True|2019-05-06 19:28:07.267000000||263||1
192|0|44|True|2019-05-06 19:28:07.267000000||263||2
193|65536|44|True|2019-05-06 19:28:07.270000000||263||3
194|115|43|False|2019-05-06 19:34:24.003000000|2020-06-23 16:26:18.273000000|263|279|1
195|0|43|False|2019-05-06 19:34:24.003000000|2020-06-23 16:26:18.273000000|263|279|2
196|65536|43|False|2019-05-06 19:34:24.003000000|2020-06-23 16:26:18.273000000|263|279|3
197|115|39|False|2019-05-06 19:41:18.437000000|2020-08-12 16:47:03.770000000|263|284|1
198|8|39|False|2019-05-06 19:41:18.437000000|2020-08-12 16:47:03.770000000|263|284|2
199|115|24|False|2019-05-07 14:00:53.690000000|2020-03-21 11:51:13.927000000|273|273|1
200|115|39|False|2019-05-07 14:12:16.570000000|2020-08-12 16:47:03.770000000|263|284|1
201|8|39|False|2019-05-07 14:12:16.570000000|2020-08-12 16:47:03.770000000|263|284|2
202|113|45|False|2019-05-07 14:56:47.693000000|2019-09-14 20:06:46.923000000|0|296|1
203|1024|45|False|2019-05-07 14:56:47.693000000|2019-09-14 20:06:46.923000000|0|296|3
204|113|46|True|2019-05-07 14:56:50.230000000||263||1
205|1024|46|True|2019-05-07 14:56:50.230000000||263||3
206|113|45|False|2019-05-07 15:56:13.260000000|2019-09-14 20:06:46.923000000|310|296|1
207|1024|45|False|2019-05-07 15:56:13.260000000|2019-09-14 20:06:46.923000000|310|296|3
208|115|37|False|2019-05-07 16:20:11.273000000|2019-08-09 11:13:29.287000000|265|265|1
209|4|37|False|2019-05-07 16:20:11.273000000|2019-08-09 11:13:29.287000000|265|265|2
210|115|24|False|2019-05-07 17:10:00.247000000|2020-03-21 11:51:13.927000000|273|273|1
211|113|45|False|2019-05-07 19:22:43.197000000|2019-09-14 20:06:46.923000000|263|296|1
212|1024|45|False|2019-05-07 19:22:43.197000000|2019-09-14 20:06:46.923000000|263|296|3
213|113|23|False|2019-05-08 11:23:33.437000000|2020-08-01 12:05:59.313000000|0|310|1
214|115|47|True|2019-05-08 11:48:57.453000000||275||1
215|115|48|False|2019-05-08 12:01:57.897000000|2019-08-16 15:32:19.590000000|0|275|1
216|115|49|True|2019-05-08 12:02:20.143000000||275||1
217|113|23|False|2019-05-08 13:39:55.797000000|2020-08-01 12:05:59.313000000|273|310|1
218|113|23|False|2019-05-08 13:41:24.220000000|2020-08-01 12:05:59.313000000|273|310|1
219|113|28|False|2019-05-08 16:26:09.577000000|2020-03-26 12:16:10.343000000|310|273|1
220|4096|28|False|2019-05-08 16:26:09.577000000|2020-03-26 12:16:10.343000000|310|273|2
221|115|39|False|2019-05-08 18:24:48.317000000|2020-08-12 16:47:03.770000000|263|284|1
222|8|39|False|2019-05-08 18:24:48.317000000|2020-08-12 16:47:03.770000000|263|284|2
223|115|39|False|2019-05-08 19:25:54.743000000|2020-08-12 16:47:03.770000000|263|284|1
224|8|39|False|2019-05-08 19:25:54.743000000|2020-08-12 16:47:03.770000000|263|284|2
225|1|50|False|2019-05-08 20:04:13.627000000|2020-03-11 12:45:54.740000000|265|284|2
226|113|42|False|2019-05-09 11:16:42.993000000|2019-05-09 11:19:09.253000000|265|265|1
227|113|42|True|2019-05-09 11:19:09.263000000||265||1
228|1|50|False|2019-05-09 13:14:01.363000000|2020-03-11 12:45:54.740000000|0|284|2
229|1|50|False|2019-05-09 13:14:19.743000000|2020-03-11 12:45:54.740000000|261|284|2
230|1|50|False|2019-05-09 13:16:54.430000000|2020-03-11 12:45:54.740000000|261|284|2
231|1|50|False|2019-05-09 13:17:15.810000000|2020-03-11 12:45:54.740000000|261|284|2
232|1|50|False|2019-05-09 13:17:53.430000000|2020-03-11 12:45:54.740000000|261|284|2
233|113|23|False|2019-05-09 13:20:49.470000000|2020-08-01 12:05:59.313000000|261|310|1
234|115|48|False|2019-05-09 14:14:56.513000000|2019-08-16 15:32:19.590000000|310|275|1
235|115|39|False|2019-05-09 14:35:56.010000000|2020-08-12 16:47:03.770000000|263|284|1
236|8|39|False|2019-05-09 14:35:56.010000000|2020-08-12 16:47:03.770000000|263|284|2
237|113|51|False|2019-05-09 14:42:42.010000000|2020-03-21 11:47:18.413000000|273|273|1
238|1|50|False|2019-05-09 14:43:10.147000000|2020-03-11 12:45:54.740000000|261|284|2
239|1|50|False|2019-05-09 15:33:47.487000000|2020-03-11 12:45:54.740000000|261|284|2
240|115|39|False|2019-05-09 15:52:27.407000000|2020-08-12 16:47:03.770000000|310|284|1
241|8|39|False|2019-05-09 15:52:27.407000000|2020-08-12 16:47:03.770000000|310|284|2
242|113|30|False|2019-05-09 18:33:02.063000000|2020-06-16 22:27:00.283000000|263|539|1
243|4096|30|False|2019-05-09 18:33:02.063000000|2020-06-16 22:27:00.283000000|263|539|2
244|113|51|False|2019-05-09 19:31:35.410000000|2020-03-21 11:47:18.413000000|273|273|1
245|113|51|False|2019-05-09 19:42:48.080000000|2020-03-21 11:47:18.413000000|273|273|1
246|113|51|False|2019-05-09 19:47:32.180000000|2020-03-21 11:47:18.413000000|273|273|1
247|113|51|False|2019-05-09 19:48:28.523000000|2020-03-21 11:47:18.413000000|273|273|1
248|113|51|False|2019-05-09 19:55:49.847000000|2020-03-21 11:47:18.413000000|273|273|1
249|113|51|False|2019-05-09 20:32:02.373000000|2020-03-21 11:47:18.413000000|273|273|1
250|113|51|False|2019-05-09 20:33:04.780000000|2020-03-21 11:47:18.413000000|273|273|1
251|115|15|False|2019-05-10 11:19:00.847000000|2020-04-14 18:46:08.083000000|310|539|1
252|4096|15|False|2019-05-10 11:19:00.847000000|2020-04-14 18:46:08.083000000|310|539|2
253|65536|15|False|2019-05-10 11:19:00.847000000|2020-04-14 18:46:08.083000000|310|539|3
254|113|34|False|2019-05-10 13:49:28.467000000|2020-08-22 13:49:08.513000000|310|289|1
255|0|34|False|2019-05-10 13:49:28.467000000|2020-08-22 13:49:08.513000000|310|289|2
256|113|34|False|2019-05-10 13:59:52.777000000|2020-08-22 13:49:08.513000000|310|289|1
257|0|34|False|2019-05-10 13:59:52.777000000|2020-08-22 13:49:08.513000000|310|289|2
258|113|34|False|2019-05-10 14:03:21.913000000|2020-08-22 13:49:08.513000000|263|289|1
259|0|34|False|2019-05-10 14:03:21.913000000|2020-08-22 13:49:08.513000000|263|289|2
260|113|34|False|2019-05-10 14:35:04.160000000|2020-08-22 13:49:08.513000000|263|289|1
261|0|34|False|2019-05-10 14:35:04.160000000|2020-08-22 13:49:08.513000000|263|289|2
262|1|50|False|2019-05-10 15:39:17.030000000|2020-03-11 12:45:54.740000000|261|284|2
263|115|39|False|2019-05-10 15:50:55.903000000|2020-08-12 16:47:03.770000000|263|284|1
264|8|39|False|2019-05-10 15:50:55.903000000|2020-08-12 16:47:03.770000000|263|284|2
265|115|37|False|2019-05-10 16:17:59.407000000|2019-08-09 11:13:29.287000000|263|265|1
266|4|37|False|2019-05-10 16:17:59.407000000|2019-08-09 11:13:29.287000000|263|265|2
267|115|52|False|2019-05-10 16:18:27.613000000|2020-06-08 13:58:15.157000000|310|279|1
268|115|52|False|2019-05-10 16:39:08.740000000|2020-06-08 13:58:15.157000000|310|279|1
269|113|30|False|2019-05-10 16:43:28.410000000|2020-06-16 22:27:00.283000000|310|539|1
270|4096|30|False|2019-05-10 16:43:28.410000000|2020-06-16 22:27:00.283000000|310|539|2
271|113|30|False|2019-05-10 16:55:56.307000000|2020-06-16 22:27:00.283000000|263|539|1
272|4096|30|False|2019-05-10 16:55:56.307000000|2020-06-16 22:27:00.283000000|263|539|2
273|1|50|False|2019-05-10 18:22:00.030000000|2020-03-11 12:45:54.740000000|261|284|2
274|113|30|False|2019-05-10 20:26:34.547000000|2020-06-16 22:27:00.283000000|263|539|1
